コンテンツ,動画のタイトル,動画公開時刻,長さ,エンゲージ ビュー,平均視聴時間,平均視聴率 (%),視聴を継続 (%),ユニーク視聴者数,視聴者あたりの平均視聴回数,新しい視聴者数,リピーター,視聴回数,総再生時間（単位: 時間）,チャンネル登録者,インプレッション数,インプレッションのクリック率 (%)
AFGmOM8XclA,【マンチェスターユナイテッド】デリフトの加入を考察,"Jul 3, 2024",740,,,,,0,,,,,,,12,0
BU4B7tpr8fA,マンチェスターユナイテッド vs バイエルン試合感想,"Sep 20, 2023",43,,,,,0,,,,,,,16,0
B_zaYZR4n6g,カゼミロの後釜？ウガルテのマンチェスターユナイテッド移籍を考察,"Jul 23, 2024",374,,,,,0,,,,,,,10,0
C3BninIY6M4,オナナ獲得！？デ・ヘアと比較＋次シーズン予測,"Jul 8, 2023",816,,,,,0,,,,,,,2,0
CTtvUV5_SIM,エンベウモ、オーンスタイン砲きちゃ,"Jul 19, 2025",11065,,,,,0,,,,,,,1,0
DQb7MOZZvkM,メイヌーの未来の話【マンチェスターユナイテッド】,"Jul 6, 2025",579,,,,,0,,,,,,,12,0
DwBpqBAaXP8,今週の移籍のお話まとめ。売却は進む雰囲気が少しだけ。【マンチェスターユナイテッド】,"Jul 5, 2025",2504,,,,,0,,,,,,,21,0
EG6X60HLjEE,夏市場一章閉幕。次はエンベウモかギョケレシュか。【マンチェスターユナイテッド】,"Jun 13, 2025",789,,,,,0,,,,,,,7,0
ENR5dUquc7I,バレバなのかオナナなのかエデルソンなのかアグメなのか。ブルーノの相方案【マンチェスターユナイテッド】,"Jun 27, 2025",1307,,,,,0,,,,,,,14,0
ETQOUFaah6k,ティアリスト作ったり、ブルーノの話したり、Cl決勝の話したり【マンチェスターユナイテッド】,"Jun 2, 2025",5301,,,,,0,,,,,,,10,0
EcehxH-UqJs,クリスタル・パレス戦感想！,"Sep 26, 2023",60,,,,,0,,,,,,,1,0
FLpREgJsJq4,けど勝った～！【マンチェスターユナイテッド】,"Oct 5, 2025",11001,,,,,0,,,,,,,64,0
GE9Ze9sM2cA,冬の市場の現状まとめ【マンチェスターユナイテッド】,"Jan 15, 2025",651,,,,,0,,,,,,,4,0
H2fXs9jlfTc,【ダービー】マンチェスターユナイテッドvsリヴァプール試合感想,"Apr 8, 2024",370,,,,,0,,,,,,,2,0
H3YNiA9K_Bw,【マンチェスターユナイテッド】サンチョさん売れるらしいけども・・・,"Aug 29, 2024",42,,,,,0,,,,,,,12,0
H85-11vX1g4,【マンチェスターユナイテッド】復興の兆し、ラトクリフは何を成せるのか,"Feb 16, 2024",804,,,,,0,,,,,,,3,0
HCLot-5annc,2026年ワールドカップじゃないですか。アンチェロッティも熱いしトゥヘルも熱いし。【切り抜き】,"Jun 19, 2025",591,,,,,0,,,,,,,31,0
HRE6Oeqw5Is,ManUTDマウント獲得！,"Jul 2, 2023",46,,,,,0,,,,,,,3,0
IJuqyGlG-ZU,メイヌー、ガルナチョの売却説についてお話【マンチェスターユナイテッド】,"Jan 14, 2025",617,,,,,0,,,,,,,5,0
J0V2IEn1r14,ウェストハム戦感想：プレスは結構リスキーかなと【マンチェスターユナイテッド】 #manchesterutd #サッカー,"Jul 29, 2025",52,,,,,0,,,,,,,115,0
JDYXSNAohF0,【マンチェスターユナイテッド】ガルナチョのWB起用の話 #manchesterutd #サッカー #マンチェスターユナイテッド,"Nov 22, 2024",59,,,,,0,,,,,,,16,0
JQPP7Oj92dA,【マンチェスターユナイテッド】Bodø/Glimt戦スタメン予想,"Nov 28, 2024",56,,,,,0,,,,,,,39,0
KJ0Kn-s6OEs,エンベウモとユナイテッドタックスとINEOSと #manchesterutd #サッカー,"Jul 17, 2025",109,,,,,0,,,,,,,75,0
KNH-xrHK-lY,【切り抜き】マンチェスターユナイテッドデラップ取るらしいね。ギョケレズとか行きません？,"May 1, 2025",362,,,,,0,,,,,,,8,0
KhJdd_z0SWo,ストライカー会議始動。どうやら中盤は優先度低いみたい。大丈夫ですか？【マンチェスターユナイテッド】,"Jul 23, 2025",16567,,,,,0,,,,,,,25,0
L3ijYgALsow,さて、どこに向かうのでしょうか【マンチェスターユナイテッド】,"Sep 16, 2025",16974,,,,,0,,,,,,,19,0
LVB-qjrL4AM,プレミア開幕、ちょっとバユンドゥルキツイか流石に【マンチェスターユナイテッド】,"Aug 18, 2025",18468,,,,,0,,,,,,,10,0
N3B5lfs5ZUA,【マンチェスターユナイテッド】コミュニティシールドに向けてって話,"Aug 9, 2024",420,,,,,0,,,,,,,2,0
N6O6vhFxuEE,エンベウモ第三オファー,"Jul 18, 2025",9968,,,,,0,,,,,,,8,0
OU6KMNQW9R8,【マンチェスターユナイテッド】来季スタメン予想,"Jul 6, 2024",715,,,,,0,,,,,,,7,0
